year,language,total_questions,total_answers,total_views,total_score,total_project,Overall
2008,actionscript,0.009088453,0.01337526,0.03685097,3448,4.326493E-4,0.5974733
2008,asp,0.00407087,0.0068869684,0.0128963925,787,1.6024049E-5,0.23870257
2008,assembly,0.0021017047,0.004752869,0.012387405,1611,7.210822E-5,0.19314086
2008,c#,0.1442224,0.29215288,1.0572286,129840,5.368056E-4,14.941406
2008,c++,0.06626997,0.16297334,0.506744,78085,0.003965952,7.399533
2008,c,0.0227022,0.063069314,0.20868409,25642,0.005079624,2.9953523
2008,clojure,4.354884E-4,0.0015243575,0.00256394,864,2.7240883E-4,0.04796195
2008,coldfusion,0.0016283479,0.0025796818,0.003390586,356,1.6024049E-5,0.076146394
2008,css,0.018934278,0.0492172,0.30221188,25309,2.7240883E-4,3.7063577
2008,d,3.40817E-4,8.129906E-4,8.743862E-4,346,4.006012E-5,0.02068254
2008,erlang,8.899111E-4,0.0016650674,0.0018132244,469,0.001297948,0.05666151
2008,fortran,3.0294844E-4,7.113668E-4,0.0017077196,294,1.6024049E-5,0.02738059
2008,groovy,0.0017230193,0.003009629,0.0077039776,887,1.4421644E-4,0.12580843
2008,haskell,0.001571545,0.0035255654,0.004590796,1614,6.0090184E-4,0.10288808
2008,io,0.004354884,0.009622995,0.05939541,5965,1.3620441E-4,0.7350949
2008,java,0.08847988,0.19538355,0.880685,89718,0.0022193308,11.667677
2008,javascript,0.05261836,0.1213623,0.8305385,96627,0.011152738,10.156719
2008,lua,7.9523964E-4,0.0018135946,0.0030201576,448,9.213828E-4,0.065503746
2008,matlab,0.0013253995,0.002517144,0.008757356,671,8.012024E-6,0.12607911
2008,objective-c,0.0074979737,0.0167992,0.09155142,11525,0.0017866815,1.1763527
2008,objective-j,3.7868555E-5,4.6903304E-5,4.7668436E-5,11,8.813227E-5,0.0022057258
2008,ocaml,3.40817E-4,5.237536E-4,8.304965E-4,262,1.4421644E-4,0.018392837
2008,pascal,1.5147422E-4,2.736026E-4,2.5106093E-4,73,8.012024E-6,0.006841498
2008,perl,0.010394919,0.02438972,0.054949265,5827,0.0037015553,0.93435454
2008,php,0.043529905,0.09630813,0.3265422,35673,0.0030125212,4.6939273
2008,prolog,2.2721133E-4,6.1756023E-4,9.632624E-4,261,8.012024E-6,0.01816046
2008,python,0.041806888,0.09819208,0.51004773,77833,0.006946425,6.5699315
2008,r,1.704085E-4,6.3319464E-4,0.0011723886,309,1.2819239E-4,0.02104184
2008,racket,9.4671384E-5,1.4070992E-4,7.0495415E-5,23,1.6024049E-5,0.0032190075
