year,language,total_questions,total_answers,total_views,total_score,total_project,Overall
2008,actionscript,.007574,.016719,.046064,3448,.000361,.70717
2008,asp,.003392,.008609,.01612,787,.000013,.281349
2008,assembly,.001751,.005941,.015484,1611,.00006,.232369
2008,c#,.120185,.365191,1.321536,129840,.000447,18.073595
2008,c++,.055225,.203717,.63343,78085,.003305,8.956767
2008,c,.018918,.078837,.260855,25642,.004233,3.628433
2008,clojure,.000363,.001905,.003205,864,.000227,.057003
2008,coldfusion,.001357,.003225,.004238,356,.000013,.088331
2008,css,.015779,.061522,.377765,25309,.000227,4.552919
2008,d,.000284,.001016,.001093,346,.000033,.024266
2008,erlang,.000742,.002081,.002267,469,.001082,.061711
2008,fortran,.000252,.000889,.002135,294,.000013,.032897
2008,groovy,.001436,.003762,.00963,887,.00012,.14948
2008,haskell,.00131,.004407,.005738,1614,.000501,.119558
2008,io,.003629,.012029,.074244,5965,.000114,.900156
2008,java,.073733,.244229,1.100856,89718,.001849,14.206684
2008,javascript,.043849,.151703,1.038173,96627,.009294,12.430185
2008,lua,.000663,.002267,.003775,448,.000768,.074727
2008,matlab,.001104,.003146,.010947,671,.000007,.152043
2008,objective-c,.006248,.020999,.114439,11525,.001489,1.431755
2008,objective-j,.000032,.000059,.00006,11,.000073,.002232
2008,ocaml,.000284,.000655,.001038,262,.00012,.02097
2008,pascal,.000126,.000342,.000314,73,.000007,.007887
2008,perl,.008662,.030487,.068687,5827,.003085,1.109208
2008,php,.036275,.120385,.408178,35673,.00251,5.673482
2008,prolog,.000189,.000772,.001204,261,.000007,.02172
2008,python,.034839,.12274,.63756,77833,.005789,8.009275
2008,r,.000142,.000791,.001465,309,.000107,.025058
2008,racket,.000079,.000176,.000088,23,.000013,.003563
2008,rebol,.000047,.000127,.000055,14,.000007,.002363
2008,ruby,.028417,.083029,.20328,27615,.04253,3.572563
2008,scala,.000347,.000977,.001941,398,.00018,.034454
2008,scheme,.001089,.004563,.006232,1016,.00012,.120043
2008,scilab,.000016,.00002,.000052,3,.000007,.000937
2008,self,.000252,.000752,.001566,148,.000007,.02578
2008,shell,.004339,.017452,.107314,9275,.001355,1.304601
2008,smalltalk,.000284,.001339,.000993,301,.000007,.026224
2008,tcl,.000205,.000557,.000428,37,.000007,.011964
2009,actionscript,.059012,.087553,.156667,5655,.001863,3.050943
2009,ada,.000473,.000909,.000553,110,.000013,.019484
2009,applescript,.002146,.002961,.00596,356,.000027,.110934
2009,arc,.000095,.000254,.000226,59,.000013,.005886
2009,arduino,.000773,.002189,.004518,327,.000013,.074935
2009,asp,.012986,.021673,.037483,1443,.000067,.722084
2009,assembly,.011234,.02566,.041088,4521,.000093,.780755
2009,autohotkey,.000379,.000684,.001097,142,.00004,.021996
2009,awk,.003093,.008355,.016623,1099,.000007,.280767
2009,boo,.000394,.000674,.000488,94,.000013,.0157
2009,c#,.74194,1.514166,3.283967,241632,.005074,55.451469
2009,c++,.279612,.703638,1.153755,106404,.01113,21.481344
2009,c,.109061,.321229,.556591,52766,.016992,10.038734
2009,clean,.000158,.000469,.001205,124,.000007,.018383
2009,clojure,.00497,.010817,.012497,3550,.001856,.301407
2009,coffeescript,.000016,.000029,.000035,8,.000067,.001466
2009,coldfusion,.009152,.015947,.014419,1367,.000167,.396843
2009,css,.114442,.263206,1.01861,56464,.000701,13.969587
2009,d,.001168,.002912,.002192,676,.00024,.065123
2009,delphi,.053347,.109001,.120127,11499,.000047,2.82522
2009,eiffel,.000047,.000107,.000039,17,.00004,.002334
2009,elixir,.000189,.000195,.000177,17,.00002,.005822
2009,erlang,.006359,.012625,.012406,2681,.003659,.35048
2009,f#,.008189,.016299,.01112,2954,.000067,.356752
2009,factor,.000079,.000225,.001007,161,.000027,.013377
2009,fortran,.002099,.004006,.005841,445,.000073,.120196
2009,go,.001325,.003586,.006131,1454,.000574,.116167
2009,groovy,.007432,.012595,.022552,1924,.000601,.431805
2009,haskell,.008236,.019758,.019383,6021,.00199,.493666
2009,haxe,.000458,.000743,.000898,183,.00004,.021387
2009,idl,.000442,.000489,.000777,64,.000007,.017139
2009,io,.017151,.040493,.161629,10687,.00008,2.193532
2009,ioke,.000047,.000117,.00003,5,.000007,.002014
2009,java,.410763,.924376,2.750074,180977,.014569,40.997814
2009,javascript,.305457,.639243,2.549362,172806,.03558,35.296429
2009,logos,.000032,.000176,.000017,13,.000007,.002314
2009,lua,.003818,.007602,.016307,1497,.001482,.292095
2009,matlab,.009972,.019416,.077014,3766,.0001,1.065027
2009,max,.001609,.003752,.02873,2984,.000007,.340983
2009,nemerle,.000079,.000127,.000056,20,.000027,.002891
2009,objective-c,.099894,.173425,.593691,51601,.010129,8.771389
2009,objective-j,.000126,.000156,.00006,24,.000574,.009165
2009,ocaml,.001862,.003498,.003124,713,.000568,.09052
2009,parrot,.000047,.000107,.000074,39,.000033,.002619
2009,pascal,.000947,.002042,.001598,170,.000013,.046007
2009,perl,.044306,.102493,.143894,12675,.020524,3.112174
2009,php,.326664,.681026,1.304228,74227,.015837,23.277548
2009,powershell,.012512,.02225,.088967,6201,.000033,1.237623
2009,processing,.017104,.037513,.066206,6068,.000013,1.208361
2009,prolog,.002241,.003537,.004681,475,.00004,.104994
2009,python,.21492,.475394,1.324274,131097,.030332,20.449203
2009,r,.008568,.018468,.075887,8262,.00032,1.032431
2009,racket,.001073,.00172,.002321,250,.000007,.051202
2009,ruby,.196853,.350778,.61562,69246,.095971,12.592221
2009,scala,.010698,.023266,.055255,12149,.001849,.910683
2009,scheme,.004402,.009732,.013506,1940,.000568,.282081
2009,scilab,.000047,.000068,.000021,0,.000007,.001435
2009,self,.001783,.004094,.009688,1041,.000027,.155918
2009,shell,.019471,.049043,.197429,14146,.005956,2.718985
2009,smalltalk,.001278,.003459,.001585,555,.000073,.063956
2009,tcl,.001578,.002619,.004374,269,.000114,.086844
2009,tex,.000757,.001593,.006507,443,.00006,.089172
