year,language,total_questions,total_answers,total_views,total_score,total_project,Overall
2008,actionscript,0.013632679,0.003343815,0.08291468,3448,7.210822E-5,0.9996328
2008,asp,0.006106305,0.0017217421,0.029016884,787,2.6706748E-6,0.36847603
2008,assembly,0.0031525572,0.0011882172,0.02787166,1611,1.2018037E-5,0.32224452
2008,c#,0.21633358,0.07303822,2.3787644,129840,8.9467605E-5,26.682255
2008,c++,0.09940496,0.040743336,1.1401742,78085,6.60992E-4,12.8098345
2008,c,0.0340533,0.015767328,0.46953923,25642,8.4660394E-4,5.2020645
2008,clojure,6.5323256E-4,3.8108937E-4,0.0057688644,864,4.540147E-5,0.06848588
2008,coldfusion,0.0024425217,6.4492045E-4,0.0076288185,356,2.6706748E-6,0.10718931
2008,css,0.028401416,0.0123043,0.67997676,25309,4.540147E-5,7.207279
2008,d,5.112255E-4,2.0324765E-4,0.001967369,346,6.676687E-6,0.02688519
2008,erlang,0.0013348666,4.1626685E-4,0.004079755,469,2.1632467E-4,0.060472135
2008,fortran,4.5442267E-4,1.778417E-4,0.0038423692,294,2.6706748E-6,0.04477304
2008,groovy,0.0025845289,7.5240724E-4,0.01733395,887,2.4036073E-5,0.20694923
2008,haskell,0.0023573176,8.8139134E-4,0.010329291,1614,1.0015031E-4,0.13668151
2008,io,0.0065323254,0.0024057487,0.13363966,5965,2.2700735E-5,1.4260043
2008,java,0.13271981,0.048845887,1.9815413,89718,3.6988847E-4,21.634768
2008,javascript,0.07892754,0.030340575,1.8687116,96627,0.0018587896,19.798386
2008,lua,0.0011928595,4.5339865E-4,0.006795354,448,1.535638E-4,0.08595176
2008,matlab,0.0019880992,6.29286E-4,0.019704051,671,1.3353374E-6,0.22322772
2008,objective-c,0.011246961,0.0041998,0.2059907,11525,2.9778024E-4,2.2173526
2008,objective-j,5.6802834E-5,1.1725826E-5,1.0725398E-4,11,1.4688711E-5,0.0019047136
2008,ocaml,5.112255E-4,1.309384E-4,0.0018686171,262,2.4036073E-5,0.02534817
2008,pascal,2.2721133E-4,6.840065E-5,5.648871E-4,73,1.3353374E-6,0.008618344
2008,perl,0.015592378,0.00609743,0.12363585,5827,6.169259E-4,1.4594258
2008,php,0.06529486,0.024077032,0.73471993,35673,5.020869E-4,8.245939
2008,prolog,3.40817E-4,1.5439006E-4,0.0021673404,261,1.3353374E-6,0.026638826
2008,python,0.06271033,0.02454802,1.1476074,77833,0.0011577375,12.360235
2008,r,2.5561274E-4,1.5829866E-4,0.002637874,309,2.1365398E-5,0.03073151
2008,racket,1.4200708E-4,3.517748E-5,1.5861468E-4,23,2.6706748E-6,0.003384699
2008,rebol,8.520425E-5,2.5405956E-5,9.947612E-5,14,1.3353374E-6,0.0021142166
2008,ruby,0.05115095,0.016605726,0.36590397,27615,0.008506099,4.4216676
2008,scala,6.248312E-4,1.9543045E-4,0.003493492,398,3.605411E-5,0.043498084
2008,scheme,0.0019596978,9.1266015E-4,0.011217765,1016,2.4036073E-5,0.1411416
2008,scilab,2.8401417E-5,3.908609E-6,9.303928E-5,3,1.3353374E-6,0.0012668464
2008,self,4.5442267E-4,1.5048144E-4,0.0028196883,148,1.3353374E-6,0.034259275
2008,shell,0.0078103896,0.0034903877,0.19316474,9275,2.7107348E-4,2.0473657
2008,smalltalk,5.112255E-4,2.677397E-4,0.0017873518,301,1.3353374E-6,0.025676524
2008,tcl,3.692184E-4,1.11395355E-4,7.6965935E-4,37,1.3353374E-6,0.012516083
2009,actionscript,0.1062213,0.017510567,0.2820003,5655,3.7255915E-4,4.061047
2009,ada,8.5204246E-4,1.817503E-4,9.953781E-4,110,2.6706748E-6,0.020318413
2009,applescript,0.0038625929,5.921542E-4,0.010728027,356,5.3413496E-6,0.15188114
2009,arc,1.704085E-4,5.0811912E-5,4.0766707E-4,59,2.6706748E-6,0.006315582
2009,arduino,0.0013916695,4.3776422E-4,0.008132744,327,2.6706748E-6,0.099648476
2009,asp,0.023374368,0.004334647,0.06746868,1443,1.3353374E-5,0.9519105
2009,assembly,0.020221809,0.0051320037,0.07395773,4521,1.8694724E-5,0.99330235
2009,autohotkey,6.81634E-4,1.368013E-4,0.0019742886,142,8.012024E-6,0.028007358
2009,awk,0.005566678,0.0016709303,0.02992102,1099,1.3353374E-6,0.3715996
2009,boo,7.1003544E-4,1.3484701E-4,8.7822747E-4,94,2.6706748E-6,0.017257806
2009,c#,1.3354914,0.30283314,5.91114,241632,0.0010148565,75.50479
2009,c++,0.5033015,0.1407275,2.076759,106404,0.0022260074,27.23014
2009,c,0.19631058,0.064245805,1.0018635,52766,0.0033984336,12.658184
2009,clean,2.8401415E-4,9.380661E-5,0.002168601,124,1.3353374E-6,0.02547757
2009,clojure,0.008946447,0.002163415,0.022495015,3550,3.7122378E-4,0.33976102
2009,coffeescript,2.8401417E-5,5.862913E-6,6.249107E-5,8,1.3353374E-5,0.0011010877
2009,coldfusion,0.016472822,0.0031894248,0.02595356,1367,3.3383436E-5,0.4564919
2009,css,0.20599547,0.052641146,1.8334981,56464,1.4021044E-4,20.922749
2009,d,0.002101705,5.823827E-4,0.003946405,676,4.8072146E-5,0.06678565
2009,delphi,0.09602519,0.021800267,0.21622792,11499,9.347362E-6,3.3406272
2009,eiffel,8.520425E-5,2.1497348E-5,6.933022E-5,17,8.012024E-6,0.0018404383
2009,elixir,3.40817E-4,3.9086088E-5,3.1934812E-4,17,4.006012E-6,0.0070325723
2009,erlang,0.01144577,0.0025249613,0.022330124,2681,7.317649E-4,0.3703262
2009,f#,0.014740335,0.00325978,0.020016748,2954,1.3353374E-5,0.3803022
2009,factor,1.4200708E-4,4.4949003E-5,0.0018131528,161,5.3413496E-6,0.020054502
2009,fortran,0.0037773885,8.0126483E-4,0.010514351,445,1.4688711E-5,0.15107693
2009,go,0.002385719,7.172297E-4,0.011035682,1454,1.14839015E-4,0.14253469
2009,groovy,0.013377067,0.0025190983,0.040594332,1924,1.2018037E-4,0.5661068
2009,haskell,0.01482554,0.0039516035,0.034888577,6021,3.9793056E-4,0.54063654
2009,haxe,8.236411E-4,1.4852715E-4,0.0016171241,183,8.012024E-6,0.025973042
2009,idl,7.952397E-4,9.771522E-5,0.0013984053,64,1.3353374E-6,0.022926955
2009,io,0.030872341,0.008098638,0.29093146,10687,1.6024049E-5,3.2991848
2009,ioke,8.520425E-5,2.3451652E-5,5.4203625E-5,5,1.3353374E-6,0.0016419487
2009,java,0.73937404,0.18487525,4.9501324,180977,0.002913706,58.77295
2009,javascript,0.549823,0.12784865,4.588852,172806,0.0071160127,52.736393
2009,logos,5.6802834E-5,3.517748E-5,3.1057793E-5,13,1.3353374E-6,0.0012437345
2009,lua,0.006873143,0.0015204488,0.029351896,1497,2.964449E-4,0.3804193
2009,matlab,0.017949695,0.003883203,0.13862598,3766,2.003006E-5,1.604789
2009,max,0.0028969445,7.5045286E-4,0.051713906,2984,1.3353374E-6,0.55362636
2009,nemerle,1.4200708E-4,2.5405956E-5,1.0164856E-4,20,5.3413496E-6,0.0027440293
2009,objective-c,0.17980936,0.034684993,1.0686442,51601,0.0020257067,12.851643
2009,objective-j,2.2721133E-4,3.126887E-5,1.0754901E-4,24,1.14839015E-4,0.004808682
2009,ocaml,0.003351367,6.99641E-4,0.0056239283,713,1.1350369E-4,0.0978844
2009,parrot,8.520425E-5,2.1497348E-5,1.326259E-4,39,6.676687E-6,0.0024600418
